,0,1,2,3,4
2014-07-31,-0.0010275523562617442,0.010468412744774969,0.0005602071453143552,-0.008307455876376725,0.002699441684703455
2014-08-31,0.0346251259896974,0.001021165568936907,0.010552086778882586,-0.009833604355430207,0.006882826770664634
2014-09-30,-0.023083016366937152,0.015120813593777059,-0.007886874356615517,0.0026532379977081168,0.008240943105233758
2014-10-31,0.027858355053428246,-0.00225600721407239,-0.002115351910658242,-0.017210135126036426,0.002785054283346248
2014-11-30,0.0019533929024242907,0.005250523153945922,0.010517135779412878,-0.011713092453498313,0.0037230851742186735
2014-12-31,0.007383155649208694,0.011812231813821836,0.004098487578799592,-0.028735635288051807,0.010231672236296606
2015-01-31,0.051479699086327234,0.008006715144852222,0.022292972243408857,-0.013888034384970611,-0.010368834669178918
2015-02-28,-0.005626827719842534,-0.01157679885224263,-0.011921578280124674,0.03895394058713553,0.0017457988487050789
2015-03-31,0.0020760371582368656,0.008530072210445303,0.00589622293878987,-0.004022801051327628,0.00695462578338415
2015-04-30,-0.0161750396789284,-0.0015419442439300048,0.0019169942258034653,0.026127699537496146,0.00424692433705501
2015-05-31,-0.02008720925771793,-0.0034107532542337485,-0.0008288284563186285,0.01148034847203604,-0.0016428352504140322
2015-06-30,-0.03511859251445125,0.0028134851129393047,-0.0091472187973776,-0.01407997142933767,0.0026299328701907326
2015-07-31,0.01586284432731061,0.010450616153753116,-0.00017495556920885938,-0.031687314045326834,0.0037330330841788785
2015-08-31,-0.015574099103801461,0.007566812730344396,0.0055859079624731005,-0.013236116039961382,-0.000513518579219715
2015-09-30,0.0029957839484416712,0.023856670133949334,0.014508268648125546,-0.033176683347992834,0.0006128893415673587
2015-10-31,0.021049556154751126,-0.008100146440675776,0.0029365126816562536,0.01364821627175176,0.007383496769728318
2015-11-30,-0.01738279197416687,0.013450185730965368,0.013929606629621782,-0.022425991233379086,0.001664156561186929
2015-12-31,-0.025229003930788464,0.013971467827506521,0.007735972331909637,-0.02892457691458787,0.0017858375950202399
2016-01-31,-0.01817329030527786,0.0007171655220687845,0.007004425009839382,-0.039042431135725246,0.006591186443270304
2016-02-29,0.019274852877597885,0.007304141305836942,0.02339796494739546,0.004018806860340843,-0.0038043499172576043
2016-03-31,0.12688383916260693,-0.011536235974530249,-0.04998884823757894,0.03846723218806397,0.014081774577544722
2016-04-30,0.06791438068813378,-0.01757620648259829,-0.043046871303994975,0.029376227100934238,-0.011573466378602083
2016-05-31,0.018004983463368776,-0.0010183411264179688,-0.022077281741193427,0.0216697779336915,0.003960927496408255
2016-06-30,0.053896836665307236,-0.0024518959285372227,0.005790674515692124,-0.0037001452502408317,-0.003419052890066632
2016-07-31,0.02853484650772521,-0.009688064338663128,-0.0004022931994933877,0.0047361057050946155,-0.0036961115006482483
2016-08-31,0.024893442085565723,-0.012874002416258013,-0.01594151499053513,0.019570608820697527,-0.003605302623013211
2016-09-30,0.0027809071660747347,-0.006944047957403944,-0.012559920967959229,0.01773252476445207,0.0007454614999592438
2016-10-31,-0.01634408045623048,-0.013397783915915,-0.019579233002043943,0.02284071839281183,-0.0027529043397724025
2016-11-30,-0.048326887740241256,-0.007934527063118528,-0.022943616885466915,0.03358975494720639,0.006741372340188399
2016-12-31,0.0164300657711728,-0.008202190805919904,-0.005425400378925716,0.013971668035649209,0.004156651327038224
2017-01-31,0.008790243199998715,-0.004866747418389329,-0.0016163474777184574,0.01810302598971989,0.006594938727232979
2017-02-28,0.02216663014184342,-0.0006309708364751672,0.005978646519351889,-0.007660669054686838,0.0009444656295365963
2017-03-31,-0.0010592030209145586,0.004640830552510942,-0.0050248486429316334,0.013926509333305916,0.006275406216854554
2017-04-30,0.017041358656949952,-0.00297710834727424,0.004656319812261715,0.0007166819402182143,0.002143942605092846
2017-05-31,0.02322604369419584,0.0004526382368502328,0.004739951737500397,-0.004060886610594505,0.0017950281543868565
2017-06-30,0.010862399871299557,0.002994992769650006,0.0029518576400952433,-0.010535946927824452,-0.0003076139246447753
2017-07-31,0.010441413254208482,-0.0007911752191691167,0.0054490237780004894,0.005737206474362378,0.004430763748387684
2017-08-31,0.011215807794418775,0.005636068826931589,0.0048326991713576045,-0.007680377643127439,0.004042674378776387
2017-09-30,0.0038878312015680084,-0.005418023238044799,-0.006088296390183126,0.00852434582772504,0.001616809712305644
2017-10-31,0.008669914400831336,-0.0008945643275818055,-0.0019028669257257272,0.0023221219355365435,0.0032393900404598455
2017-11-30,0.0019426513962383031,0.0009491630812279855,-0.0034475936426713117,-0.008048993477564164,0.0046777851045575625
2017-12-31,0.019981020320791475,-0.0013905523756735818,-0.005974884658922824,-0.008114670967732362,-0.00028595349195520523
2018-01-31,-0.007148203575105988,-0.007184076819435694,-0.01843618302630422,0.02205371585474193,0.0009886840627373458
2018-02-28,-0.03853428306710695,0.0011831377025607243,-0.011966358657710549,0.023848815441783376,0.006381964722361393
2018-03-31,0.0057575323889008725,0.00395989040950659,0.00041622258634740894,-0.007102883906965856,-0.00018868783894509747
2018-04-30,-0.016894715872270982,-0.0023915593490820963,-0.007127863303654372,0.021513744496643044,0.009326819244079146
2018-05-31,0.00474920314981337,0.0005768492320300232,0.005495416101916796,0.0017574165338993144,-0.0010559424801139903
2018-06-30,-0.01215116045319975,-0.00042536590981794817,-0.0005103742156599331,0.00674109421340738,0.001471866325721961
2018-07-31,0.018759635330748373,5.479266127966797e-05,0.0007807771120552042,0.0054531614173218435,0.003502110317132037
2018-08-31,0.007224825497200049,0.0013563740696274375,0.004545475958630783,0.0030425606622243107,0.006756952803576959
2018-09-30,-0.006143180768756978,-0.0007708069698289772,-0.004600861775443696,0.010839966551509133,0.002894745708408249
2018-10-31,-0.03990316637195261,0.008581357528273617,-0.0014905235428046993,0.009424047494922892,0.00653144992906337
2018-11-30,-0.006796511979365088,0.00402515808883464,-0.002731564151665022,-0.01203507157120718,0.003953582152679648
2018-12-31,0.023828707230582113,0.016879398966158754,0.006712181588568979,-0.021572236644304618,0.0023397488963492717
2019-01-31,0.04487973663038204,-0.011935945544202433,0.01571887598212168,0.008587511297279856,-0.004662192970961272
2019-02-28,0.004720771636186113,-0.0028143768432506554,-0.0010912657873273762,0.0088603926783127,0.006190653981891045
2019-03-31,0.04804398983513287,0.002399613854692213,0.011970552591492042,-0.010740843191722688,-0.0025537771005545266
2019-04-30,0.005372943815855234,-0.007624983938463996,-0.0019678222533859547,0.004764242896808644,-0.002037761522971372
2019-05-31,0.021489336955865454,0.012389902157544978,0.00870934002038383,-0.007949008387391343,0.0029139185668524787
2019-06-30,0.05266797151475968,-0.006233275875736811,0.014013745362428267,-0.017943980808710763,0.0008320462471735936
2019-07-31,0.009190781495847573,-0.0015022472196336235,-4.8274704896766885e-05,-0.005374954378351872,0.0018949074918942418
2019-08-31,0.06161525664446253,0.005556256029983632,0.021323565606914716,-0.03710287842647453,-0.0007650343100339795
2019-09-30,-0.015475918438710847,-0.0003217733115656995,-0.00424374369105871,0.009705392832317996,0.0058843688397896485
2019-10-31,0.001917816495720969,-0.00028052003929076664,0.005718325505613275,-0.008101181666297173,0.0016820328062427878
2019-11-30,0.010558956008639958,0.002106473728868332,-0.004213017259092125,0.008181397302835153,-0.005513903622622692
2019-12-31,0.00997244066926263,-0.008652959888359483,-0.006287204638586475,0.02271842273028099,-0.0018342020482138353
2020-01-31,0.03875712535190416,0.0077888343208634215,0.015292433710401968,-0.014310977815205229,0.0011571473611945407
2020-02-29,0.006939118317315863,0.01947090929457685,0.024679274973069338,-0.02805130300359859,0.005551074447249806
2020-03-31,-0.10194328498000768,0.10755343616909824,0.003984587251994032,-0.0371577758229662,0.009383218667090385
2020-04-30,0.13393337077823894,0.03209457278415967,-0.010691190998789088,0.06476867099641861,0.033582283525845455
2020-05-31,0.048414394743696576,-0.022125842270961888,-0.028536715188267937,0.029264130032509536,-0.002140306689499179
2020-06-30,0.03286005678228333,-0.0048736473080108495,0.015129251822686984,0.016209301627811583,-0.006038269959773198
2020-07-31,0.07792749351286385,-0.015565388725732529,-0.004702409320652177,-0.012741716889003593,-0.0032357790205364218
2020-08-31,-0.02804872098315938,-0.005149420293545325,-0.002643435691405541,0.03952579074854781,0.01101105921429142
2020-09-30,-0.007997695577503003,0.008622492343819121,0.002686545013972164,-0.0033879251192550364,0.00246218825461921
2020-10-31,-0.0059987817956190705,-0.005305641102017438,0.003246162667306895,0.0005078710214241348,-1.519677834508292e-05
2020-11-30,0.0650253250367108,-0.017909976358691283,-0.0029407858474056517,0.037552580734538904,-0.0070075948227254345
2020-12-31,0.005164724349811913,-0.012470250250715591,-0.000407716911264659,0.023657040031539803,-0.004855753999126624
2021-01-31,-0.026580773316036692,-0.008837870344417282,-0.013251067179008705,0.05299968049505161,-0.0024597078553725616
2021-02-28,-0.0408864721329293,-0.01283634957383897,-0.0119455096749326,0.023008246752460826,-0.004654239924090789
2021-03-31,-0.02364825549117501,-0.003105237621050306,-0.013113760100098655,0.024787498873726336,0.0024493719533709413
2021-04-30,0.01514263616461754,-0.0036231140306715896,0.005990543130163178,0.009691723545679326,0.0013315220261997261
2021-05-31,0.010422457318966481,-0.0008698098074491534,0.005724182430671807,0.002418559535946593,-0.0001713325494665178
2021-06-30,0.042410072132367894,-0.0071063742489949275,-0.003490263036584511,-0.0050313438543297655,-0.00039396889002815525
2021-07-31,0.021961473214108337,-0.0011814280779874325,0.00930460361270733,-0.013024065819777386,-0.0038696730840380566
2021-08-31,-0.00437653344207073,-0.002073115673090532,-0.0032009971260473936,0.005659935105953124,0.0018876770692089996
2021-09-30,-0.01826503065710055,-0.0021064456206283857,-0.004096323163040661,0.011376557800969212,0.002543977009738323
2021-10-31,0.013263689841588055,0.004873905433052651,-0.0037589131262789994,0.0035520189576446573,0.00885469835864546
2021-11-30,0.00019008549047576443,0.004370092002476822,0.00021660168507902516,-0.00785332119417604,-0.0017302773203694967
2021-12-31,0.0025145379480210265,-0.003575649352487751,-0.001993110389207249,0.014138257998619265,0.005417815629462871
2022-01-31,-0.06018513000697462,0.01296434343540007,-0.01930102412809684,0.02037275460473278,0.00759136730398844
2022-02-28,-0.03905687933389107,0.0022469182077800125,-0.014666241259595519,0.01644175603138846,-0.0012028441931369164
2022-03-31,-0.024079738530659603,0.012479687839917212,-0.024694555863232884,0.024953723145166445,0.00910425067917555
2022-04-30,-0.10957466113180366,0.015016588365336862,-0.029733758473877617,0.04313688216265654,0.011920144421573442
2022-05-31,0.014412482816730134,-0.003104961238912207,0.008381343152630658,-0.0056636627108755215,-0.004316991818271013
2022-06-30,-0.03623312501157212,0.029079456085912475,-0.012233136364447408,-0.001840705891610415,0.010421797640412395
2022-07-31,0.059320025696430065,-0.0007173133146279931,0.022843297805922015,0.0009391286331734796,0.007164471437276214
2022-08-31,-0.04459263535835571,0.00780017322110219,-0.02606032514056924,0.02723776864890102,0.008900153405646812
