-0.03568,0.0078994,-0.0027105,-0.0026536,0.0012296
0.1103,0.036338,-0.0058236,0.030896,0.0031784
-0.1269,-0.0096171,0.019531,-0.016098,0.0069815
0.065012,0.039435,0.0074325,0.016097,0.0012322
0.015158,0.021924,-0.0020173,0.0037763,-0.00026755
-0.013353,0.034862,-0.004829,0.0095257,-0.0045434
0.21286,0.03842,-0.026339,0.020766,-0.0071324
-0.0069261,-0.058209,0.024112,-0.012363,0.01133
-0.00035016,0.017848,0.010924,0.0066856,0.0017953
-0.038144,-0.028185,0.027226,-0.018682,0.0035723
-0.046848,-0.010063,0.01173,-0.022867,-0.0042048
-0.14168,-0.00057193,0.018777,-0.021702,-0.0022541
0.012332,0.034975,-0.00084192,0.0010436,0.0054026
-0.05903,0.017116,0.0058429,-0.0081566,0.0053345
-0.037322,0.055676,-0.0060999,-0.010352,-0.0020977
0.097202,-0.015611,0.0043528,0.020545,0.002668
-0.072843,0.043553,0.017212,0.014484,0.0052094
-0.13337,0.069148,0.0072115,0.0013792,-0.010547
-0.082263,0.082687,0.02736,-0.010379,-0.0067161
0.11085,0.0037364,-0.021192,0.016872,0.013463
0.37718,-0.10097,-0.042551,-0.0090624,0.023475
0.22221,-0.080289,-0.056342,-0.024467,0.0091862
0.024363,-0.033652,-0.0069705,-0.011192,0.0033593
0.19087,0.021694,-0.023663,0.032179,-0.006035
0.11489,0.00246,-0.0079589,0.014502,-0.0046017
0.090401,-0.03275,-0.01544,0.020425,-0.012797
0.017465,-0.026188,-0.0024954,0.0023512,-0.0071413
-0.053122,-0.046256,0.0034368,-0.011859,-0.0097378
-0.16272,-0.066396,0.0049099,-0.02433,-0.012666
0.072002,-0.0076477,-0.0034883,0.024562,-0.0031757
0.035993,-0.0078226,0.0074481,0.012682,-0.0054066
0.091392,0.014101,-0.0080158,0.0017219,0.011392
-0.019888,-0.0061471,0.014925,0.00041719,-0.0021318
0.080842,0.011513,-0.0006499,0.0059378,0.001815
0.082379,0.011503,-0.013245,0.00041916,-0.00037584
0.029155,0.016037,-0.012628,-0.0055776,0.002515
0.043758,0.0043784,0.0069007,0.0068508,0.00057239
0.024646,0.018508,0.0010066,-0.0024542,0.004556
0.016552,-0.014518,-0.0033114,0.013226,-0.0021401
0.016455,-0.0003403,-0.0021296,0.0038339,0.0009109
-0.014231,-0.00027298,-0.0037027,0.0015186,-0.0020858
0.059859,0.0099835,-0.015605,0.017823,-0.001428
-0.042842,-0.04104,0.0057691,0.0062799,0.00074451
-0.14393,-0.034453,0.017544,-0.036509,0.0027821
0.0090808,0.0082617,-0.0018074,0.0041325,0.0021557
-0.058067,-0.025851,0.026079,0.00016088,-0.0016985
0.033587,0.0063353,0.0010756,-0.0011681,0.0027858
-0.04045,-0.0076715,0.0089125,-0.0016695,-0.0020374
0.068012,0.0019857,-0.0069708,0.0074288,0.0069519
0.01937,0.0067793,0.010633,0.0006259,0.00045198
-0.019251,-0.011911,0.004974,0.0066931,-0.00066654
-0.1552,-0.0034182,0.034383,-0.0070829,-0.0054535
-0.045915,0.012266,0.0053406,-0.0093284,0.0021069
0.045291,0.031275,-0.018835,-0.024787,0.011816
0.23163,0.0045926,-0.024012,0.0089087,-0.0020648
0.015443,-0.0086102,0.010799,0.0011386,0.0015626
0.17181,0.025041,-0.019637,0.010592,0.0073374
0.034334,-0.0079582,-0.0018165,0.001087,-0.0021381
0.059274,0.027009,-0.0033945,0.013688,0.0044296
0.20082,0.039244,-0.024917,0.035695,-0.0064889
0.023378,0.0052983,-0.0049076,0.0053608,-0.0021712
0.19361,0.066895,-0.036029,0.049553,-0.0055635
-0.055671,-0.017058,0.015979,-0.0079326,0.0085404
0.013605,0.013147,0.0030506,0.0038581,0.002602
0.03951,-0.0012049,-0.0052382,0.014877,-0.0023433
0.055908,-0.02115,0.00037404,-0.0012463,-0.00091283
0.12495,0.037068,-0.010029,0.036434,0.00048929
0.020485,0.049541,-0.0042349,-0.0017488,0.0083625
-0.5733,0.050567,-0.021111,-0.07619,0.038909
0.48117,-0.032468,-0.00083001,0.079948,0.052535
0.20412,-0.068384,-0.0066293,-0.021994,0.036189
0.16193,-0.0053719,-0.015561,0.0070331,0.011352
0.27296,0.020409,-0.046406,0.018142,-0.0060624
-0.075917,-0.066178,0.031541,-0.019595,0.012184
-0.034551,0.01051,0.0093438,-0.0005938,0.0025612
0.00061424,-0.0083678,0.0048178,0.0018865,-0.0016398
0.26519,-0.011877,-0.034021,0.049576,0.001646
0.056677,-0.019741,0.0053064,0.0036589,-0.00024094
-0.07009,-0.046603,0.0096798,-0.021791,-0.0040349
-0.13955,-0.045187,0.016223,-0.018184,-0.0098006
-0.075656,-0.024216,0.0089375,-0.0063283,-0.003627
0.083201,0.0064362,-0.0010245,0.011533,0.00054304
0.051225,0.0062244,-0.0029202,0.0034071,-0.00022846
0.15176,0.0074969,-0.040393,0.0039788,0.0014531
0.091715,0.014788,-0.020872,-0.0064329,-0.0012244
-0.014359,-0.0065138,0.0046229,0.0069631,8.9742e-05
-0.07837,-0.021452,0.0089908,-0.0113,0.003895
0.028263,-0.00098047,-0.009995,0.02294,-0.0022628
-0.009144,0.0030952,-0.0073667,-0.0038079,-0.0010711
0.0096221,-0.0061831,0.015722,0.0095847,0.0067181
-0.26663,-0.042097,0.019949,-0.028038,0.0040492
-0.15523,-0.022182,0.011311,-0.021896,-0.0042184
-0.15059,-0.030033,-0.0023906,0.005109,0.0012354
-0.44709,-0.056715,0.067572,-0.00076688,-0.016033
0.08288,0.016365,0.0023837,0.0011018,0.0021627
-0.26025,-0.013938,0.027238,0.0060318,-0.0041139
0.30888,0.034704,-0.016001,9.0026e-05,0.017114
-0.2471,-0.044828,0.047451,0.030321,0.0049388
-0.43794,-0.0552,0.045738,0.013035,-0.01943
-0.082234,-0.017837,0.016129,0.0087712,-0.01126
0.36853,0.0304,-0.05078,-0.013655,0.029807
-0.05061,-0.0047528,0.018799,0.0088459,0.0010481
0.28077,0.024538,-0.035965,-0.0010156,0.0067184
-0.28945,-0.044962,0.065309,0.035793,0.012726
0.21198,0.040847,-0.015522,0.0068348,0.00095194
0.028897,0.0043682,-0.0012145,0.0016922,-0.00036678
-0.15478,-0.020564,0.022206,-0.0050024,0.0081865
0.032389,-0.01609,-0.01338,0.015302,0.0022568
-0.0048836,-0.0066436,0.01253,0.004765,0.0021007
-0.10124,-0.0079829,0.021038,0.00022066,-0.0038705
